,relation,target,source
0,r_dns_a,Domain_0452dfc35498e6681d9eac1ad5ac999a65c0dd4968dfe9cf240896220338dd40,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
1,r_cert,Domain_b3823d8bacbf61540a83efb2e1b401e4a26b8689683fe747082b6c993ebcd356,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
2,r_cname,Domain_7b81eb604b259fc0375ecb0a4d809926eb7990a27db922eef2c3509ba7b39c34,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
3,r_dns_a,Domain_86f0ec616c5f63f28623b2982d973844adecf5ffa085c57e486d55af4d607abd,IP_2493d10250d8cfb277bb6217bd48e2863d4a1bf81fb6cc9e755f63a88a349f32
4,r_dns_a,Domain_d09e8d3d5fe6bf3eaba10475e4ec3622db3d5dbe9a6204beb968d84825faa38a,IP_f9b588fa3410ab89fa0e50b011c9ac8ddfa4a3125ea3df13fa4598faa5e15f8a
5,r_cert,Domain_677def7b2648c461f1999e3df64aa3dc5785b6aecf695099494523b97521da7b,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
6,r_cert,Domain_e12ccdb589d946eca7147c7ec39c92da0027ad6326d3a5196bc432eb16703506,Cert_1b22e6e2c9f9d7afd041a1a0ef2178dbaaf3248c4261496a382ff46520d55e71
7,r_cname,Domain_a45498cc65547bc816a3c83255c02b160d14e4125b039a151d034ea5e8316c90,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
8,r_subdomain,Domain_8ae385b7dc3870bbb76e4bd5999d2a6e405d4204764735661c745ef66b52589f,Domain_a8ab137696791839e437da34627040e1d207ae4f6cc3b0261696c6bae6e5609b
9,r_dns_a,Domain_006de3fc33e294584cfd43e82243cf3d34eadf9b88fd3c0e5b123f1d74cbd27e,IP_2493d10250d8cfb277bb6217bd48e2863d4a1bf81fb6cc9e755f63a88a349f32
10,r_cert,Domain_98cd79c84fa3d0310e9860c4ebfd81a7835ce6cabc09a3439f170f7437a5e015,Cert_c992a7d7f01fae6098d8f1ba358002074db1b977cceafc07c04b40e657ec0425
