source,target,relation,isKeyline
Domain_17ddf7ece7fd258128f3b0abfdaae8465baf74e950a3a3ec00f0a7fa589bde21,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_17ddf7ece7fd258128f3b0abfdaae8465baf74e950a3a3ec00f0a7fa589bde21,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_b82905b233f6e8415394663434d71b6bf12fd5fac87c133863d2b374ca65edaa,Whois_Name_d93c941eef173511e77515af6861025e9a2a52d597e27bf1825961c2690e66cd,r_whois_name,0
Domain_b82905b233f6e8415394663434d71b6bf12fd5fac87c133863d2b374ca65edaa,Whois_Phone_eed18837930dd49f768dcb427c3552db206f00b4b610dd32ba4119a9e92cd111,r_whois_phone,0
Domain_b6d20c942db57225027edd06d31b3e67263a94ae029b13f42ef91579a9c0f2b9,Domain_334edd9799036dd2213c6f8c4c52e479f7a861cbc889317cb49a1068f5e100b1,r_subdomain,0
Domain_b6d20c942db57225027edd06d31b3e67263a94ae029b13f42ef91579a9c0f2b9,Whois_Phone_eed18837930dd49f768dcb427c3552db206f00b4b610dd32ba4119a9e92cd111,r_whois_phone,0
Domain_334edd9799036dd2213c6f8c4c52e479f7a861cbc889317cb49a1068f5e100b1,Whois_Phone_eed18837930dd49f768dcb427c3552db206f00b4b610dd32ba4119a9e92cd111,r_whois_phone,0
Domain_f2701c8033ad72d11df46be1a8a97072c02091d3be0252c49daa9c7a29096ecd,Whois_Phone_eed18837930dd49f768dcb427c3552db206f00b4b610dd32ba4119a9e92cd111,r_whois_phone,0
Domain_ae3b15f8c2b97ad6ba266792417bcbc2d1c5f1ae11a146c2360d42ebfefe857f,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_ae3b15f8c2b97ad6ba266792417bcbc2d1c5f1ae11a146c2360d42ebfefe857f,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_8e61be7581e2d0e9c208e32a9349d9573ba47242aecbb9a5bf65e7aaec0630df,Domain_144d599ec29464395587085068d4af8144c538596e6b1d4fc83b80688764d2a2,r_subdomain,0
Domain_8e61be7581e2d0e9c208e32a9349d9573ba47242aecbb9a5bf65e7aaec0630df,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_8e61be7581e2d0e9c208e32a9349d9573ba47242aecbb9a5bf65e7aaec0630df,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_144d599ec29464395587085068d4af8144c538596e6b1d4fc83b80688764d2a2,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_144d599ec29464395587085068d4af8144c538596e6b1d4fc83b80688764d2a2,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_30298fe3ff8a4adadf6a3af147917325a717ce1d4bc7f469aff79c06d23e710e,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_30298fe3ff8a4adadf6a3af147917325a717ce1d4bc7f469aff79c06d23e710e,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_20e7ff3c880e9078062266c3c036b8592c1bb6409c3a37c57bbf2b73f8e25010,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_20e7ff3c880e9078062266c3c036b8592c1bb6409c3a37c57bbf2b73f8e25010,Domain_30298fe3ff8a4adadf6a3af147917325a717ce1d4bc7f469aff79c06d23e710e,r_subdomain,0
Domain_20e7ff3c880e9078062266c3c036b8592c1bb6409c3a37c57bbf2b73f8e25010,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_dfc092a0123fe892a8ab67febf1af9e896e059acdc716e822272b17f328dccd7,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_dfc092a0123fe892a8ab67febf1af9e896e059acdc716e822272b17f328dccd7,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_3b46cd778a1e5a982aa7ee9c76febdb365d90514c05b92cf3b9f09b2f147d470,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_3b46cd778a1e5a982aa7ee9c76febdb365d90514c05b92cf3b9f09b2f147d470,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_4b90d4c09114aadfb630b6fd5906ca9d3c641e9d44a69eb7466e6ff4e19c2a8e,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_4b90d4c09114aadfb630b6fd5906ca9d3c641e9d44a69eb7466e6ff4e19c2a8e,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_4b90d4c09114aadfb630b6fd5906ca9d3c641e9d44a69eb7466e6ff4e19c2a8e,Domain_c45dbb8a258e87163e7e11bd313aeb762f25df3ae2483c28a8116631a3495434,r_subdomain,0
Domain_19c0b3904850e08d552127010c43c80a3bcdbb7bb0ef95d7243619d339de37ea,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_19c0b3904850e08d552127010c43c80a3bcdbb7bb0ef95d7243619d339de37ea,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_19c0b3904850e08d552127010c43c80a3bcdbb7bb0ef95d7243619d339de37ea,Domain_ee83b8d0656b496460caf5e70a142532a4a8026ff4a493bc16fe9f1c037d29de,r_subdomain,0
Domain_1dd75c360d1264cb5d495853e92efc181b28e61e1e023973fe65505310542e9d,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_1dd75c360d1264cb5d495853e92efc181b28e61e1e023973fe65505310542e9d,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_d7cf097e422f585b2511257563b50c943239087db320f97a10860baec3373f90,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_d7cf097e422f585b2511257563b50c943239087db320f97a10860baec3373f90,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_d7cf097e422f585b2511257563b50c943239087db320f97a10860baec3373f90,Domain_60243d220f597e87f4360510c3406b38a7ff58e52e46026fd3158ef26c4a2dcc,r_subdomain,0
Domain_2c552fc7f89b9ece388e142a1e768f99d899f6b6359825f5694c7b6073d81c54,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_2c552fc7f89b9ece388e142a1e768f99d899f6b6359825f5694c7b6073d81c54,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_2c552fc7f89b9ece388e142a1e768f99d899f6b6359825f5694c7b6073d81c54,Domain_05cc1e8ea9037e30e1cfb5b71b0e0d3ea434df702683bb0068319a7304209b5d,r_subdomain,0
Domain_c2aca3aa1847ac71525e13e550ad7b3c4b87d9fceb3061ec6b67568ad507612b,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_c2aca3aa1847ac71525e13e550ad7b3c4b87d9fceb3061ec6b67568ad507612b,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_c2aca3aa1847ac71525e13e550ad7b3c4b87d9fceb3061ec6b67568ad507612b,Domain_3bc28eaa4cc7ed3ba8d74ed1e8bc54b99c4999b2d853ab0d61fe9ca6bae6843c,r_subdomain,0
Domain_5b99341d138d19eac73307ab5203c95884c05218837cd75ddda968dfd5181bac,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_5b99341d138d19eac73307ab5203c95884c05218837cd75ddda968dfd5181bac,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_5b99341d138d19eac73307ab5203c95884c05218837cd75ddda968dfd5181bac,Domain_0c358fb8ff9530103ca3481b16f132ca254264218c516b529919f61b432d86bf,r_subdomain,0
Domain_cf1ff638818a8b9dfa677829f1b38fcdb188fdcedb9cfd319cd31e8c75131830,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_cf1ff638818a8b9dfa677829f1b38fcdb188fdcedb9cfd319cd31e8c75131830,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_b6ddbb0a11b3f23f33c89e570bd3342e7ec1fa6833644817229240034d1ab813,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_b6ddbb0a11b3f23f33c89e570bd3342e7ec1fa6833644817229240034d1ab813,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_a1ae8fbdc291106ca7a922fb993808d4a48c31670326b0777fbec2fb716fcb13,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_a1ae8fbdc291106ca7a922fb993808d4a48c31670326b0777fbec2fb716fcb13,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_6ea391e6c1cd3af0f7bf02f29d347fb6e2b33a41286109a6c799878a88f0d00f,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_6ea391e6c1cd3af0f7bf02f29d347fb6e2b33a41286109a6c799878a88f0d00f,Domain_a1ae8fbdc291106ca7a922fb993808d4a48c31670326b0777fbec2fb716fcb13,r_subdomain,0
Domain_6ea391e6c1cd3af0f7bf02f29d347fb6e2b33a41286109a6c799878a88f0d00f,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_6ea391e6c1cd3af0f7bf02f29d347fb6e2b33a41286109a6c799878a88f0d00f,Domain_d4a5d6cacbb2927ce0c0397fef05545bb5df6043316851eff77a542a2371eb7b,r_subdomain,0
Domain_07004c8fc7b373e42dead68f66c756d711e47577513c48fe3c794507a24a93f4,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_07004c8fc7b373e42dead68f66c756d711e47577513c48fe3c794507a24a93f4,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_07004c8fc7b373e42dead68f66c756d711e47577513c48fe3c794507a24a93f4,Domain_71cc0cccc6efc7e3645ad56167c8aac4549f1421f9b7afe26c019aa5f9bb4752,r_subdomain,0
Domain_56a9273ee07aeb0e4297db3efbb7b8bcd1991f4efffbe922716baff09b7c619a,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_56a9273ee07aeb0e4297db3efbb7b8bcd1991f4efffbe922716baff09b7c619a,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_5519cb2bafe1b6265165641a4107434473efff1ccb67583a6a4819ddb5a0fbfd,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_5519cb2bafe1b6265165641a4107434473efff1ccb67583a6a4819ddb5a0fbfd,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_138294e09ddfa74a9e13123bb50261a10c27b28e7295344f6a4d3a29dbaa58b9,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_138294e09ddfa74a9e13123bb50261a10c27b28e7295344f6a4d3a29dbaa58b9,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_30332affb22bbf9758b082474d92d79112202cbbbb030a30c2b7559f246538cd,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_30332affb22bbf9758b082474d92d79112202cbbbb030a30c2b7559f246538cd,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_5155b30c2b3cf003aaf0c0254b6b0f11ee9990b5f111b3ffced5321777a5acb6,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_5155b30c2b3cf003aaf0c0254b6b0f11ee9990b5f111b3ffced5321777a5acb6,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_091cedff3f5fdeac8f7c3463440ad46f679dea6bad746e8e008ca773fc48ef59,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_091cedff3f5fdeac8f7c3463440ad46f679dea6bad746e8e008ca773fc48ef59,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_091cedff3f5fdeac8f7c3463440ad46f679dea6bad746e8e008ca773fc48ef59,Domain_f98f2e10332d74c8450d2b7d2645a3ac1bcd1ba5f0787d54fbb0d6d8e1a2aa72,r_subdomain,0
Domain_29b60a4df896a6d7e38aed8fae1e0efbb302736235528b68d6b6b0559fafa4da,Domain_32c4f41a64871e9d60569380b3e6c7a07026a9504c34071d3d80adf28e47e4b1,r_cname,0
Domain_29b60a4df896a6d7e38aed8fae1e0efbb302736235528b68d6b6b0559fafa4da,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_077eceaa6e841db4d27c924f7516d125b85a067d5800740662dd2a06a8d09fe4,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
Domain_077eceaa6e841db4d27c924f7516d125b85a067d5800740662dd2a06a8d09fe4,Domain_bef7711a775534636a7cdae48a0f9d7604c5dadcf31f32f6117d6db4b00555ac,r_cname,0
Domain_06b9b61d697f034b7f2080c980a84f65cfffd613de425f6f555fbc3b6dfbf8b3,Domain_74b566215e8d0f8e730484d14c42d52582dddc727f64e684d52017957b20c823,r_subdomain,0
Domain_06b9b61d697f034b7f2080c980a84f65cfffd613de425f6f555fbc3b6dfbf8b3,IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,r_dns_a,0
